,description,naf5,naf4,naf3,naf2
176,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques Manufacturation de construction en terre cuite matériaux de fabrication de briques, de carreaux et de produits de construction, fabrication en terre cuite de briques, de carreaux et de produits de construction, en terre cuite",23.32Z,23.32,23.3,23.0
177,Industrie manufacturière Manufacturière d'autres produits minéraux non métalliques Manufacturing d'autres produits en céramique et en porcelaine Fabrication d'articles en céramique pour l'utilisation domestique ou ornementale d'articles en céramique à usage domestique ou ornemental,23.41Z,23.41,23.4,23.0
178,Industrie manufacturière Manufacturing d'autres produits minéraux non métalliques Manufacturières d'autres produits en céramique et en porcelaine fabrication d'appareils sanitaires en céramique fabrication de céramique appareils sanitaires en céramique,23.42Z,23.42,23.4,23.0
179,Industrie manufacturière Fabrication d'autres produits minéraux non métalliques Fabrication d'autres produits de fabrication en céramique et en porcelaine,23.43Z,23.43,23.4,23.0
180,Industrie manufacturière Fabrication d'autres produits minéraux non métalliques Fabrication d'autres produits en céramique et en porcelaine Fabrication d'autres produits en céramique pour l'utilisation technique d'autres produits techniques en céramique,23.44Z,23.44,23.4,23.0
181,Industrie manufacturière Manufacturière d'autres produits minéraux non métalliques Fabrication d'autres produits en céramique et en porcelaine Fabrication d'autres produits en céramique Fabrication d'autres produits en céramique,23.49Z,23.49,23.4,23.0
182,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques Manufacturing Ciment, chaux et plâtre Manufacturing Manufacturing Manufacturing",23.51Z,23.51,23.5,23.0
183,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques de fabrication de chaux, de chaux et de plâtre de fabrication de chaux et de plâtre de chaux et de plâtre",23.52Z,23.52,23.5,23.0
184,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques de fabrication en béton, en ciment ou en plâtre de fabrication d'éléments de béton pour la construction d'éléments en béton pour la construction",23.61Z,23.61,23.6,23.0
185,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques de fabrication en béton, en ciment ou en plâtre de fabrication d'éléments en plâtre pour la construction d'éléments en plâtre pour la construction",23.62Z,23.62,23.6,23.0
186,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques de fabrication en béton, en ciment ou en plâtre en béton fabrication de fabrication de béton prêt à utiliser prêt à l'emploi",23.63Z,23.63,23.6,23.0
187,"Fabrication de fabrication d'autres produits minéraux non métalliques de fabrication en béton, en ciment ou en plâtre fabrication de mortiers et de bétons secs fabrication de mortiers secs et de bétons",23.64Z,23.64,23.6,23.0
188,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques de fabrication en béton, en ciment ou en plâtre fabrication de fibres de ciment ouvrages fabriquant des travaux de ciment de fibre",23.65Z,23.65,23.6,23.0
189,"Industrie manufacturière Fabrication d'autres produits minéraux non métalliques de fabrication en béton, en ciment ou en plâtre fabriquant d'autres travaux de béton, de ciment ou de plâtre fabriquant d'autres œuvres de béton, de ciment ou de plâtre",23.69Z,23.69,23.6,23.0
190,"Industrie manufacturière Manufacturing d'autres produits minéraux non métalliques Taille, façonnant et finition des pierres Taille, façonnant et terminant la taille des pierres, la mise en forme et la finition des pierres",23.70Z,23.7,23.7,23.0
191,Industrie manufacturière Manufacturière d'autres produits minéraux non métalliques de fabrication de produits abrasifs et de produits minéraux non métalliques N.C.A. Fabrication de produits abrasifs fabrication de produits abrasifs,23.91Z,23.91,23.9,23.0
192,Industrie manufacturière Manufacturière d'autres produits minéraux non métalliques de fabrication de produits abrasifs et de produits minéraux non métalliques N.C.A. Fabrication d'autres produits minéraux non métalliques N.C.A. Fabrication d'autres minéraux non métalliques N.C.A.,23.99Z,23.99,23.9,23.0
193,Métallurgie fabrique de l'industrie de l'industrie en acier en acier acier industrie sidérurgique,24.10Z,24.1,24.1,24.0
194,"Tubes de fabrication de l'industrie de la fabrication métallurgique, tuyaux, profils creux et accessoires correspondants dans la fabrication en acier de tubes, de tuyaux, de profils creux et d'accessoires correspondants dans la fabrication d'acier de tubes, de tuyaux, de profils creux et d'accessoires correspondants en acier en acier",24.20Z,24.2,24.2,24.0
195,Industrie de la fabrication de la métallurgie Manufacturing Autre première transformation de l'étirement à froid en acier des barres d'étirement à froid de la barre,24.31Z,24.31,24.3,24.0
196,Industrie du fabricant de métallurgie Fabrication d'une autre première transformation du roulement à froid en acier des bandes froides bandes de bandes,24.32Z,24.32,24.3,24.0
197,Industrie de la fabrication de la métallurgie Manufacturing Autre première transformation du profilage à froid en acier en formant ou en pliant le profilage à froid en formant ou en pliant,24.33Z,24.33,24.3,24.0
198,Métallurgie Manufacturing Industrie Manufacturing Autre Première Transformation de Cold Stalling Steel Cold Walking,24.34Z,24.34,24.3,24.0
199,Production du fabricant du fabricant de métallurgie de métaux précieux et autres métaux non ferreux Production de métaux précieux Production de métaux précieux,24.41Z,24.41,24.4,24.0
200,Industrie de la fabrication de métallurgie Production de métaux précieux et autres métaux non ferreux Métallurgie de la métallurgie en aluminium de l'aluminium,24.42Z,24.42,24.4,24.0
201,"Industrie du fabricant de métallurgie Production de métaux précieux et autres métaux non ferreux Métallurgie du plomb, du zinc ou de la métallurgie de l'étain de plomb, de zinc ou d'étain",24.43Z,24.43,24.4,24.0
202,Industrie de la fabrication de métallurgie Production de métaux précieux et autres métaux non ferreux Métallurgie de la métallurgie du cuivre,24.44Z,24.44,24.4,24.0
203,Industrie de la fabrication de métallurgie Production de métaux précieux et d'autres métaux non ferreux Métallurgie d'autres métaux non ferreux Métallurgie d'autres métaux non ferreux,24.45Z,24.45,24.4,24.0
204,Production du fabricant du fabricant de métallurgies de métaux précieux et autres métaux non ferreux Développement et transformation du développement et de la transformation des matières nucléaires des matières nucléaires,24.46Z,24.46,24.4,24.0
205,Metallurgy Manufacturer Industry Foundry Fonderie de Fonterie de Fonte Foundry,24.51Z,24.51,24.5,24.0
206,Métallurgy Manufacturer Industry Foundry Foundry Steel Foundry,24.52Z,24.52,24.5,24.0
207,Métallurgie Foundry Foundry Metals Metals Foundry Foundry de métaux légers,24.53Z,24.53,24.5,24.0
208,Métallurgie Foundry Industrie Foundry Foundry d'autres métaux non ferreux de la fonderie d'autres métaux non ferreux,24.54Z,24.54,24.5,24.0
209,"Industrie manufacturière des produits métalliques de fabrication, à l'exception des machines et équipements de fabrication d'éléments métalliques pour la construction de la fabrication de structures métalliques et de parties de structures fabrication des structures métalliques et des parties des structures",25.11Z,25.11,25.1,25.0
210,"Fabrication de fabrication de produits métalliques, à l'exception des machines et de l'équipement, fabrication d'éléments métalliques pour la construction de portes métalliques et de fenêtres de fabrication de portes et de fenêtres en métal",25.12Z,25.12,25.1,25.0
211,"Industrie manufacturière des produits métalliques de fabrication, à l'exception des machines et équipements, fabrication de réservoirs, réservoirs et conteneurs métalliques de fabrication de radiateurs et chaudières pour le chauffage central fabrication de radiateurs et de chaudières pour le chauffage central",25.21Z,25.21,25.2,25.0
212,"Industrie manufacturière Fabrication de produits métalliques, à l'exception des machines et équipements, fabrication de réservoirs, de réservoirs et de conteneurs métalliques fabriquant d'autres réservoirs, réservoirs et conteneurs métalliques fabriquant d'autres réservoirs, réservoirs et conteneurs métalliques",25.29Z,25.29,25.2,25.0
213,"Industrie manufacturière Manufacturing Metallic Products, à l'exception de la fabrication de machines et d'équipements de générateurs de vapeur, à l'exception des chaudières pour la fabrication de chauffage central de générateurs de vapeur, à l'exception des chaudières pour le chauffage central de fabrication de générateurs de vapeur, à l'exception des chaudières pour centrales chauffage",25.30Z,25.3,25.3,25.0
214,"Industrie manufacturière Fabrication de produits métalliques, à l'exception des machines et équipements de fabrication d'armes et de munitions Armes de fabrication et de munitions Armes de fabrication et munitions",25.40Z,25.4,25.4,25.0
215,"Industrie manufacturière des produits métalliques de fabrication, à l'exception des machines et de l'équipement de forge, de la mise à mort, de l'estampage; Métallurgie des poudres de forge, tamponnage, estampage; Métallurgie des poudres de forge, estampage, matrice; Métallurgie de la poudre",25.50A,25.5,25.5,25.0
216,"Industrie manufacturière des produits métalliques de fabrication, à l'exception des machines et de l'équipement de forge, de la mise à mort, de l'estampage; Métallurgie des poudres de forge, tamponnage, estampage; Coupe de métallurgie en poudre, tamponnage",25.50B,25.5,25.5,25.0
217,"industrie manufacturière des produits métalliques de fabrication, à l'exception des machines et du traitement des équipements et du revêtement des métaux; Usinage et revêtement du traitement des métaux et revêtement des métaux",25.61Z,25.61,25.6,25.0
218,"industrie manufacturière des produits métalliques de fabrication, à l'exception des machines et du traitement des équipements et du revêtement des métaux; usinage d'usinage",25.62A,25.62,25.6,25.0
219,"industrie manufacturière des produits métalliques de fabrication, à l'exception des machines et du traitement des équipements et du revêtement des métaux; Utilisation d'usinage mécanique industriel",25.62B,25.62,25.6,25.0
220,"Industrie manufacturière Manufacturing Metallic Products, à l'exception des machines, des couverts et des équipements manufacturiers de fabrication Couvrots de fabrication de fabrication",25.71Z,25.71,25.7,25.0
